"Player","nfl_Season","nfl_Tm","nfl_Age","nfl_Pos","nfl_G","nfl_Rushing GS","nfl_Rushing Att","nfl_Rushing Yds","nfl_Rushing TD","nfl_Rushing Lng","nfl_Rushing Y/A","nfl_Rushing Y/G","nfl_Rushing Fmb","nfl_GS","nfl_Tgt","nfl_Rec","nfl_Ctch%","nfl_Yds","nfl_Y/R","nfl_TD","nfl_Lng","nfl_Y/Tgt","nfl_R/G","nfl_Y/G","nfl_Fmb","cfb_Season","cfb_School","cfb_Conf","cfb_Att","cfb_ReceivingAvg","cfb_Senior_G","cfb_Junior_G","cfb_Sophomore_G","cfb_Freshman_G","cfb_RS_Freshman_G","cfb_Senior_Att","cfb_Junior_Att","cfb_Sophomore_Att","cfb_Freshman_Att","cfb_RS_Freshman_Att","cfb_Senior_RushingYds","cfb_Junior_RushingYds","cfb_Sophomore_RushingYds","cfb_Freshman_RushingYds","cfb_RS_Freshman_RushingYds","cfb_Senior_RushingAvg","cfb_Junior_RushingAvg","cfb_Sophomore_RushingAvg","cfb_Freshman_RushingAvg","cfb_RS_Freshman_RushingAvg","cfb_Senior_RushingTD","cfb_Junior_RushingTD","cfb_Sophomore_RushingTD","cfb_Freshman_RushingTD","cfb_RS_Freshman_RushingTD","cfb_Senior_Rec","cfb_Junior_Rec","cfb_Sophomore_Rec","cfb_Freshman_Rec","cfb_RS_Freshman_Rec","cfb_Senior_ReceivingYds","cfb_Junior_ReceivingYds","cfb_Sophomore_ReceivingYds","cfb_Freshman_ReceivingYds","cfb_RS_Freshman_ReceivingYds","cfb_Senior_ReceivingTD","cfb_Junior_ReceivingTD","cfb_Sophomore_ReceivingTD","cfb_Freshman_ReceivingTD","cfb_RS_Freshman_ReceivingTD","cfb_Senior_ScrimmagePlays","cfb_Junior_ScrimmagePlays","cfb_Sophomore_ScrimmagePlays","cfb_Freshman_ScrimmagePlays","cfb_RS_Freshman_ScrimmagePlays","cfb_Senior_ScrimmageYds","cfb_Junior_ScrimmageYds","cfb_Sophomore_ScrimmageYds","cfb_Freshman_ScrimmageYds","cfb_RS_Freshman_ScrimmageYds","cfb_Senior_ScrimmageAvg","cfb_Junior_ScrimmageAvg","cfb_Sophomore_ScrimmageAvg","cfb_Freshman_ScrimmageAvg","cfb_RS_Freshman_ScrimmageAvg","cfb_Senior_ScrimmageTD","cfb_Junior_ScrimmageTD","cfb_Sophomore_ScrimmageTD","cfb_Freshman_ScrimmageTD","cfb_RS_Freshman_ScrimmageTD","combine_Year","combine_Pos","combine_Age","combine_AV","combine_School","combine_College","combine_Height","combine_Wt","combine_40YD","combine_Vertical","combine_BenchReps","combine_Broad Jump","combine_3Cone","combine_Shuttle","combine_Drafted (tm/rnd/yr)"
"Jarrett Boykin",2014,"GNB","25","wr","13",NA,NA,NA,NA,NA,NA,NA,NA,"3","12","3","25.00%","23","7.7","0","11","1.9","0.2","1.8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jarryd Hayne",2015,"SFO","27","rb","8","1","17","52","0","11","3.1","6.5","3","1","7","6","85.7%","27","4.5","0","7","3.9","0.8","3.4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jarvis Landry",2014,"MIA","22","WR","16","11","2","-4","0","4","-2","-0.3","7","11","112","84","75.00%","758","9","5","25","6.8","5.3","47.4","7",2013,"LSU","SEC","0","15.5","13","13",NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"77","56",NA,NA,NA,"1193","573",NA,NA,NA,"10","5",NA,NA,NA,"77","56",NA,NA,NA,"1193","573",NA,NA,NA,"15.5","10.2",NA,NA,NA,"10","5",NA,NA,NA,2014,"WR",21,40,"LSU","College Stats","11-May",205,4.65,28.5,12,110,NA,NA,"Miami Dolphins / 2nd / 63rd pick /<U+00A0>2014"
"Jason Avant",2014,"2TM","31",NA,"16","0","1","1","0","1","1","0.1","0","0","62","34","54.80%","353","10.4","1","41","5.7","2.1","22.1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jason Campbell",2014,"CIN","33",NA,"4","0","1","1","0","1","1","0.3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jason Croom",2018,"BUF","24","te","15",NA,NA,NA,NA,NA,NA,NA,NA,"3","35","22","62.90%","259","11.8","1","26","7.4","1.5","17.3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jason Witten",2014,"DAL","32","TE","16",NA,NA,NA,NA,NA,NA,NA,NA,"16","90","64","71.10%","703","11","5","34","7.8","4","43.9","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Javon Wims",2018,"CHI","24",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"0","5","4","80.00%","32","8","0","16","6.4","1","8","0",2017,"Georgia","SEC","0","16","14",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"45",NA,NA,NA,NA,"720",NA,NA,NA,NA,"7",NA,NA,NA,NA,"45",NA,NA,NA,NA,"720",NA,NA,NA,NA,"16",NA,NA,NA,NA,"7",NA,NA,NA,NA,2018,"WR",23,0,"Georgia","College Stats","3-Jun",215,4.53,33.5,NA,113,7,NA,"Chicago Bears / 7th / 224th pick /<U+00A0>2018"
"Javontee Herndon",2015,"SDG","24","wr","8","2","1","13","0","13","13","1.6","2","2","33","24","72.7%","195","8.1","0","21","5.9","3","24.4","2",2013,"Arkansas","SEC","4","14.1","12",NA,NA,NA,NA,"4",NA,NA,NA,NA,"60",NA,NA,NA,NA,"15",NA,NA,NA,NA,"1",NA,NA,NA,NA,"31",NA,NA,NA,NA,"437",NA,NA,NA,NA,"4",NA,NA,NA,NA,"35",NA,NA,NA,NA,"497",NA,NA,NA,NA,"14.2",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Javorius Allen",2015,"BAL","24","rb","16","6","137","514","1","44","3.8","32.1","2","6","62","45","72.6%","353","7.8","2","41","5.7","2.8","22.1","2",2014,"USC","Pac-12","276","11.2","13","13",NA,NA,NA,"276","135",NA,NA,NA,"1489","785",NA,NA,NA,"5.4","5.8",NA,NA,NA,"11","14",NA,NA,NA,"41","22",NA,NA,NA,"458","252",NA,NA,NA,"1","1",NA,NA,NA,"317","157",NA,NA,NA,"1947","1037",NA,NA,NA,"6.1","6.6",NA,NA,NA,"12","15",NA,NA,NA,2015,"RB",23,14,"USC","College Stats","Jun-00",221,4.53,35.5,11,121,6.96,4.28,"Baltimore Ravens / 4th / 125th pick / 2015"
"Jawill Davis",2018,"NYG","23",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,"0","8","4","50.00%","40","10","0","22","5","0.6","5.7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jay Ajayi",2015,"MIA","22",NA,"9","0","49","187","1","24","3.8","20.8","0","0","11","7","63.6%","90","12.9","0","20","8.2","0.8","10","0",2014,"Boise State","MWC","347","10.7","14","13","11",NA,NA,"347","249","82",NA,NA,"1823","1425","548",NA,NA,"5.3","5.7","6.7",NA,NA,"28","18","4",NA,NA,"50","22","1",NA,NA,"535","222","14",NA,NA,"4","1","0",NA,NA,"397","271","83",NA,NA,"2358","1647","562",NA,NA,"5.9","6.1","6.8",NA,NA,"32","19","4",NA,NA,2015,"RB",21,20,"Boise St.","College Stats","Jun-00",221,4.57,39,19,121,7.1,4.1,"Miami Dolphins / 5th / 149th pick / 2015"
"Jay Cutler",2014,"CHI","31","QB","15","15","39","191","2","25","4.9","12.7","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jay Prosch",2014,"HOU","22","fb","16",NA,NA,NA,NA,NA,NA,NA,NA,"5","4","1","25.00%","24","24","0","24","6","0.1","1.5","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jaydon Mickens",2017,"JAX","23",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,"0","11","6","54.5%","77","12.8","2","41","7","0.6","7.7","4",2015,"Washington","Pac-12","7","11.9","13","14","13",NA,NA,"7","17","5",NA,NA,"44","103","17",NA,NA,"6.3","6.1","3.4",NA,NA,"1","2","0",NA,NA,"58","60","65",NA,NA,"692","617","688",NA,NA,"2","4","5",NA,NA,"65","77","70",NA,NA,"736","720","705",NA,NA,"11.3","9.4","10.1",NA,NA,"3","6","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jaylen Samuels",2018,"PIT","22","rb","14","3","56","256","0","25","4.6","18.3","1","3","29","26","89.70%","199","7.7","3","23","6.9","1.9","14.2","1",2017,"North Carolina State","ACC","78","7.9","13","13","13",NA,NA,"78","33","56",NA,NA,"407","189","368",NA,NA,"5.2","5.7","6.6",NA,NA,"12","6","9",NA,NA,"75","55","65",NA,NA,"593","565","597",NA,NA,"4","7","7",NA,NA,"153","88","121",NA,NA,"1000","754","965",NA,NA,"6.5","8.6","8",NA,NA,"16","13","16",NA,NA,2018,"TE",21,3,"North Carolina St.","College Stats","11-May",225,4.54,34.5,18,121,6.93,4.28,"Pittsburgh Steelers / 5th / 165th pick /<U+00A0>2018"
"Je'Ron Hamm",2016,"SFO","24",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,"0","4","2","50.0%","13","6.5","0","7","3.3","0.4","2.6","0",2013,"Louisiana-Monroe","Sun Belt","0","12.7","9","13",NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"24","62",NA,NA,NA,"304","915",NA,NA,NA,"2","6",NA,NA,NA,"24","62",NA,NA,NA,"304","915",NA,NA,NA,"12.7","14.8",NA,NA,NA,"2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jed Collins",2014,"DET","28","fb","16","2","8","19","0","3","2.4","1.2","0","2","6","5","83.30%","39","7.8","1","24","6.5","0.3","2.4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeff Cumberland",2014,"NYJ","27","TE","16",NA,NA,NA,NA,NA,NA,NA,NA,"14","47","23","48.90%","247","10.7","3","28","5.3","1.4","15.4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeff Driskel",2018,"CIN","25","qb","9","5","25","130","2","27","5.2","14.4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,"Louisiana Tech","CUSA","92",NA,"13","12",NA,NA,NA,"92","118",NA,NA,NA,"323","413",NA,NA,NA,"3.5","3.5",NA,NA,NA,"5","4",NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"92","118",NA,NA,NA,"323","413",NA,NA,NA,"3.5","3.5",NA,NA,NA,"5","4",NA,NA,NA,2016,"QB",22,2,"Louisiana Tech","College Stats","4-Jun",234,4.56,32,NA,122,7.19,4.25,"San Francisco 49ers / 6th / 207th pick /<U+00A0>2016"
"Jeff Heath",2015,"DAL","24","s","16","1","1","2","0","2","2","0.1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeff Heuerman",2016,"DEN","24","te","12",NA,NA,NA,NA,NA,NA,NA,NA,"2","17","9","52.9%","141","15.7","0","31","8.3","0.8","11.8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,"TE",22,4,"Ohio St.","College Stats","5-Jun",254,4.81,NA,26,NA,NA,NA,"Denver Broncos / 3rd / 92nd pick / 2015"
"Jeff Janis",2014,"GNB","23",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0","2","2","100.00%","16","8","0","9","8","0.7","5.3","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"WR",22,2,"Saginaw Valley St.",NA,"3-Jun",219,4.42,37.5,20,123,6.64,3.98,"Green Bay Packers / 7th / 236th pick /<U+00A0>2014"
"Jeff Locke",2015,"MIN","26","P","16","0","1","-6","0","-6","-6","-0.4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeff Maehl",2014,"PHI","25",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,"0","5","5","100.00%","46","9.2","0","15","9.2","0.6","5.8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeff Wilson",2018,"SFO","23","rb","6","2","66","266","0","18","4","44.3","3","2","15","12","80.00%","98","8.2","0","24","6.5","2","16.3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"RB",NA,NA,"North Texas",NA,"11-May",210,NA,NA,15,NA,NA,NA,NA
"Jehu Chesson",2017,"KAN","24","wr","12",NA,NA,NA,NA,NA,NA,NA,NA,"1","4","2","50.0%","18","9","0","10","4.5","0.2","1.5","0",2016,"Michigan","Big Ten","12","14.3","13","13",NA,NA,NA,"12","8",NA,NA,NA,"63","155",NA,NA,NA,"5.3","19.4",NA,NA,NA,"1","2",NA,NA,NA,"35","50",NA,NA,NA,"500","764",NA,NA,NA,"2","9",NA,NA,NA,"47","58",NA,NA,NA,"563","919",NA,NA,NA,"12","15.8",NA,NA,NA,"3","11",NA,NA,NA,2017,"WR",23,0,"Michigan","College Stats","3-Jun",204,4.47,35.5,10,132,6.7,4.09,"Kansas City Chiefs / 4th / 139th pick /<U+00A0>2017"
"Jerell Adams",2016,"NYG","24","te","13",NA,NA,NA,NA,NA,NA,NA,NA,"2","21","16","76.2%","122","7.6","1","14","5.8","1.2","9.4","1",2015,"South Carolina","SEC","0","15","12",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"28",NA,NA,NA,NA,"421",NA,NA,NA,NA,"3",NA,NA,NA,NA,"28",NA,NA,NA,NA,"421",NA,NA,NA,NA,"15",NA,NA,NA,NA,"3",NA,NA,NA,NA,2016,"TE",23,2,"South Carolina","College Stats","5-Jun",247,4.64,32.5,NA,117,7.05,4.31,"New York Giants / 6th / 184th pick /<U+00A0>2016"
"Jeremy Butler",2015,"BAL","24",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,"0","44","31","70.5%","363","11.7","0","41","8.3","3.9","45.4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremy Hill",2014,"CIN","22","RB","16","8","222","1124","9","85","5.1","70.3","5","8","32","27","84.40%","215","8","0","38","6.7","1.7","13.4","5",2013,"LSU","SEC","203","10.1","12","12",NA,NA,NA,"203","142",NA,NA,NA,"1401","755",NA,NA,NA,"6.9","5.3",NA,NA,NA,"16","12",NA,NA,NA,"18","8",NA,NA,NA,"181","73",NA,NA,NA,"0","0",NA,NA,NA,"221","150",NA,NA,NA,"1582","828",NA,NA,NA,"7.2","5.5",NA,NA,NA,"16","12",NA,NA,NA,2014,"RB",21,22,"LSU","College Stats","1-Jun",233,4.56,29,20,113,NA,NA,"Cincinnati Bengals / 2nd / 55th pick /<U+00A0>2014"
"Jeremy Kerley",2014,"NYJ","26","wr","16","7","4","86","0","37","21.5","5.4","1","7","75","38","50.70%","409","10.8","1","33","5.5","2.4","25.6","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremy Langford",2015,"CHI","24","rb","16","2","148","537","6","23","3.6","33.6","0","2","42","22","52.4%","279","12.7","1","83","6.6","1.4","17.4","0",2014,"Michigan State","Big Ten","276","5.6","13","14",NA,NA,NA,"276","292",NA,NA,NA,"1522","1422",NA,NA,NA,"5.5","4.9",NA,NA,NA,"22","18",NA,NA,NA,"11","28",NA,NA,NA,"62","157",NA,NA,NA,"0","1",NA,NA,NA,"287","320",NA,NA,NA,"1584","1579",NA,NA,NA,"5.5","4.9",NA,NA,NA,"22","19",NA,NA,NA,2015,"RB",23,8,"Michigan St.","College Stats","Jun-00",208,4.42,34.5,NA,118,7.22,4.32,"Chicago Bears / 4th / 106th pick / 2015"
"Jeremy Maclin",2014,"PHI","26","WR","16",NA,NA,NA,NA,NA,NA,NA,NA,"16","143","85","59.40%","1318","15.5","10","72","9.2","5.3","82.4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremy McNichols",2018,"2TM","23",NA,"2","0","4","8","0","7","2","4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Boise State","MWC","314","12.8","13","12",NA,NA,NA,"314","240",NA,NA,NA,"1709","1337",NA,NA,NA,"5.4","5.6",NA,NA,NA,"23","20",NA,NA,NA,"37","51",NA,NA,NA,"474","460",NA,NA,NA,"4","6",NA,NA,NA,"351","291",NA,NA,NA,"2183","1797",NA,NA,NA,"6.2","6.2",NA,NA,NA,"27","26",NA,NA,NA,2017,"RB",21,0,"Boise St.","College Stats","9-May",214,4.49,35.5,NA,121,6.93,4.28,"Tampa Bay Buccaneers / 5th / 162nd pick /<U+00A0>2017"
"Jeremy Ross",2014,"DET","26","fb/WR","16","13","2","-1","0","4","-0.5","-0.1","5","13","35","24","68.60%","314","13.1","1","59","9","1.5","19.6","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremy Sprinkle",2017,"WAS","23","te/wr","11",NA,NA,NA,NA,NA,NA,NA,NA,"5","3","2","66.7%","13","6.5","1","7","4.3","0.2","1.2","0",2016,"Arkansas","SEC","0","11.5","12","11",NA,NA,NA,"0","1",NA,NA,NA,"0","4",NA,NA,NA,NA,"4",NA,NA,NA,"0","0",NA,NA,NA,"33","27",NA,NA,NA,"380","389",NA,NA,NA,"4","6",NA,NA,NA,"33","28",NA,NA,NA,"380","393",NA,NA,NA,"11.5","14",NA,NA,NA,"4","6",NA,NA,NA,2017,"TE",22,0,"Arkansas","College Stats","5-Jun",252,4.69,29,NA,116,NA,NA,"Washington Redskins / 5th / 154th pick /<U+00A0>2017"
"Jeremy Stewart",2014,"DEN","25",NA,"6","0","6","22","0","16","3.7","3.7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
